market_id	n	coverage	reason
52737893657808901413697020151162375178026339365556383280938724587300165947800	2747	0.9156666666666666	no_close_10s
27640617095185440383450679891038478982273622769070234063688693712083279444165	2337	0.779	no_close_10s
105399166904178815448762620403210685190679431618655986924040024532658238767468	2148	0.716	no_close_10s
18992311760640727502683953376181277197301145875519857116944308636240977935530	2465	0.8216666666666667	no_close_10s
89049667303435855694695917248885636030496470840046022344052597203998945798917	1211	0.4036666666666667	coverage_below_90pct
93756594959090286509705693195525519695399841503396472025584508885867158244937	1450	0.48333333333333334	no_close_10s
20450382214228926640765553000956309514478100442623699001625635545425835034385	2676	0.892	no_open_10s
67864142770243406926246243339547984718315320089462799500340124040233455185931	2588	0.8626666666666667	no_open_10s
80164812802336096776164955989306715435745803081348774337374576911044893648220	2028	0.676	no_open_10s
94960210932967248902702867376361606581876969905340076971478159017596956827711	2132	0.7106666666666667	no_open_10s
52787840837419506386268231990291235352685174041963894276515922752489162324340	2343	0.781	no_open_10s
79056486841804200960595279092878182519379998678339506150516378452754684462724	2851	0.9503333333333334	no_open_10s
102927445032359648463645084108659614964743152335251612300385958353869597220250	2036	0.6786666666666666	no_open_10s
45532093660159402678023324648953968770109970228272242749407014543609418550726	2730	0.91	no_open_10s
54624904647730848210865251527258190608245739225001433492737246774740627276569	2315	0.7716666666666666	no_open_10s
30287036594828257473900838133650425675288785289767681352178049044000647107471	2631	0.877	no_open_10s
100596671982845665243319464719140362299423435027818152609094759674711380679777	2873	0.9576666666666667	no_open_10s
87928715298345393794429817098411951459703995939226240801095000549089304944144	1804	0.6013333333333334	no_open_10s
74345831833053136666987248484151251061014567126191421113477103797088770067489	1910	0.6366666666666667	no_open_10s
79242967653894814616730132233464274707340040988881602029248291511170918116670	2551	0.8503333333333334	no_open_10s
94566850703164370367217182748969532764286302023576931364703400383018795678847	1915	0.6383333333333333	no_open_10s
42157187269984687815863657779553315707247535746126241915355110547165277779495	2384	0.7946666666666666	no_open_10s
107851298530658805047149120851416943253453587462467195872521607653429122505419	2337	0.779	no_open_10s
115474335399060441909243473700838885005172999520982794878902095807942280367534	2088	0.696	no_open_10s
77803480672265101195019828797286984444821089978478463904305475590539446409759	2477	0.8256666666666667	no_open_10s
